#;P0;
;(s);
1194;1.268454;
1195;0.891265;
1196;0.036032;
1197;0.822249;
1198;0.505000;
1199;0.278960;
1200;0.568030;
1201;0.910320;
1202;0.356849;
1203;0.084211;
1204;1.124836;
1205;0.443825;
1206;0.522977;
1207;1.221426;
1208;0.364835;
1209;1.368882;
1210;0.289690;
1211;0.432869;
1212;0.468402;
1213;0.566734;
1214;0.307179;
1215;0.933300;
1216;1.901000;
1217;1.319759;
1218;0.003080;
1219;0.881438;
1220;0.557841;
1221;0.369501;
1222;0.006875;
1223;0.037904;
1224;0.301312;
1225;1.528124;
1226;0.006927;
1227;0.430464;
1228;0.369501;
1229;3.449385;
1230;0.276726;
1231;0.395731;
1232;0.104676;
1233;1.908494;
1234;0.843980;
1235;0.341216;
1236;0.506568;
1237;1.272842;
1238;1.004958;
1239;0.243395;
1240;1.630846;
1241;0.612916;
1242;3.474720;
1243;0.277701;
1244;*;
1245;0.295838;
1246;0.599249;
1247;1.783865;
1248;1.207621;
1249;0.748449;
1250;0.709065;
1251;0.644255;
1252;0.002057;
1253;0.004312;
1254;0.377138;
1255;0.002159;
1256;0.484130;
1257;0.002390;
1258;0.178554;
1259;0.003575;
1260;0.002606;
1261;0.580848;
1262;0.007797;
1263;1.576925;
1264;0.452782;
1265;0.004291;
1266;0.647198;
1267;0.242191;
1268;0.145655;
1269;0.602741;
1270;0.541382;
1271;0.170942;
1272;1.262471;
1273;0.288355;
1274;0.003317;
1275;0.737500;
1276;0.497772;
1277;0.749671;
1278;1.421124;
1279;2.069833;
1280;0.007094;
1281;0.674060;
1282;0.453448;
1283;0.198839;
1284;0.002428;
1285;0.006284;
1286;1.081347;
1287;*;
1288;0.464779;
1289;0.125230;
1290;3.418039;
1291;0.008702;
1292;*;
1293;0.975410;
1294;0.532578;
1295;0.001788;
1296;0.518110;
1297;1.170896;
1298;1.170894;
1299;0.994681;
1300;0.329187;
1301;0.408155;
1302;0.583758;
1303;0.594575;
1304;1.122342;
1305;0.267268;
1306;1.169890;
1307;0.257057;
1308;1.300737;
1309;0.957267;
1310;0.003598;
1311;0.287526;
1312;0.192606;
1313;0.194456;
1314;1.247666;
1315;0.860777;
1316;2.559357;
1317;0.288479;
1318;0.003708;
1319;0.003116;
1320;0.819990;
1321;0.864297;
1322;0.503000;
1323;0.714700;
1324;0.283071;
1325;0.778316;
1326;0.141909;
1327;0.839221;
1328;0.960792;
1329;0.496080;
1330;0.014842;
1331;1.675869;
1332;0.883890;
1333;1.389200;
1334;0.527466;
1335;0.007718;
1336;0.327419;
1337;0.341403;
1338;6.880000;
1339;2.193373;
1340;1.013609;
1341;2.193373;
1342;0.658013;
1343;0.421816;
1344;0.342723;
1345;0.298116;
1346;1.557917;
1347;0.249609;
1348;1.279402;
1349;1.018393;
1350;*;
1351;0.227419;
1352;0.481119;
1353;0.786468;
1354;1.296870;
1355;2.593726;
1356;0.009600;
1357;1.296850;
1358;0.666438;
1359;0.182495;
1360;0.354550;
1361;0.426646;
1362;0.923834;
1363;0.192687;
1364;1.368283;
1365;0.483311;
1366;0.732121;
1367;0.846907;
1368;0.615521;
1369;0.382377;
1370;0.457516;
1371;0.655221;
1372;1.206803;
1373;0.003151;
1374;0.033504;
1375;0.464106;
1376;0.407292;
1377;0.888793;
1378;0.231694;
1379;1.534008;
1380;0.509903;
1381;0.572592;
1382;2.477568;
1383;0.558258;
1384;0.179278;
1385;0.360958;
1386;0.791528;
1387;0.003359;
1388;0.491384;
1389;1.219594;
1390;1.025831;
1391;0.894924;
1392;0.004318;
1393;3.428479;
1394;0.567080;
1395;0.069357;
1396;0.005779;
1397;0.011987;
1398;1.867136;
1399;0.005931;
1400;0.407109;
1401;1.883798;
1402;1.158600;
1403;1.023152;
1404;0.171935;
1405;1.156360;
1406;1.084029;
1407;0.371925;
1408;0.003845;
1409;0.731463;
1410;0.916939;
1411;0.457681;
1412;0.265072;
1413;0.735092;
1414;1.072968;
1415;4.327020;
1416;0.023623;
1417;0.503015;
1418;1.276448;
1419;0.011076;
1420;0.364591;
1421;0.866306;
1422;0.492347;
1423;0.725762;
1424;0.085072;
1425;0.002410;
1426;0.651801;
1427;0.395763;
1428;0.002960;
1429;0.167861;
1430;0.233165;
1431;0.871243;
1432;0.448723;
1433;0.002834;
1434;2.355278;
1435;0.460339;
1436;0.355856;
1437;0.308354;
1438;0.370147;
1439;0.293928;
1440;0.450868;
1441;0.490857;
1442;0.002183;
1443;0.140746;
1444;0.612331;
1445;0.623678;
1446;0.439684;
1447;0.352465;
1448;0.354234;
1449;0.181178;
1450;0.003212;
1451;0.449439;
1452;0.865971;
1453;4.137539;
1454;1.525000;
1455;0.314056;
1456;2.988193;
1457;0.526365;
1458;0.006001;
1459;0.003229;
1460;0.003318;
1461;1.912420;
1462;0.559081;
1463;0.575971;
1464;0.310186;
1465;0.677684;
1466;0.551241;
1467;1.103326;
1468;0.118719;
1469;0.717637;
1470;1.046810;
1471;1.709208;
1472;0.228569;
1473;0.813672;
1474;0.416836;
1475;0.935557;
1476;0.436507;
1477;0.710830;
1478;2.514780;
1479;0.352145;
1480;0.002120;
1481;2.015263;
1482;0.684936;
1483;0.356715;
1484;0.507356;
1485;0.224201;
1486;1.208694;
1487;0.490507;
1488;1.179387;
1489;1.594746;
1490;1.488903;
1491;0.504831;
1492;2.594578;
1493;0.671964;
1494;0.529123;
1495;0.510454;
1496;0.555086;
1497;0.206649;
1498;1.204644;
1499;0.430367;
1500;0.340106;
1501;0.771367;
1502;0.252870;
1503;0.118774;
1504;0.493091;
1505;0.154066;
1506;1.165741;
1507;0.837365;
1508;0.767720;
1509;0.705000;
1510;0.698261;
1511;0.771130;
1512;0.510929;
1513;1.121944;
1514;0.568057;
1515;0.117803;
1516;0.278155;
1517;0.426668;
1518;0.065740;
1519;0.763933;
1520;0.340504;
1521;1.430695;
1522;0.587559;
1523;0.519137;
1524;0.529121;
1525;0.003163;
1526;0.206443;
1527;0.178352;
1528;0.517445;
1529;0.739099;
1530;0.010378;
1531;0.003528;
1532;0.003722;
1533;0.003118;
1534;0.002487;
1535;0.003004;
1536;0.004324;
1537;0.011214;
1538;0.006375;
1539;0.002021;
1540;1.091008;
1541;0.795190;
1542;0.175106;
1543;1.099047;
1544;*;
1545;0.004622;
1546;0.237390;
1547;1.347899;
1548;0.717528;
1549;0.397000;
1550;0.173911;
1551;0.455078;
1552;0.250941;
1553;0.125962;
1554;0.410861;
1555;0.387692;
1556;1.660080;
1557;4.817736;
1558;0.005853;
1559;0.840680;
1560;0.231603;
1561;*;
1562;0.431784;
1563;0.530075;
1564;1.785614;
1565;1.599798;
1566;1.599799;
1567;0.212316;
1568;10.610656;
1569;0.247528;
1570;0.719458;
1571;0.629632;
1572;0.164966;
1573;0.583765;
1574;1.015257;
1575;0.003424;
1576;0.587242;
1577;0.262026;
1578;0.770910;
1579;0.676410;
1580;0.870712;
1581;0.557036;
1582;0.297692;
1583;0.613571;
1584;1.749554;
1585;0.308918;
1586;0.309398;
1587;0.380870;
1588;0.127123;
1589;0.156400;
1590;0.059676;
1591;0.828000;
1592;0.973396;
1593;0.844081;
1594;0.517443;
1595;0.569352;
1596;0.635058;
1597;0.890537;
1598;1.755312;
1599;0.915803;
1600;0.305447;
1601;1.703739;
1602;0.496548;
1603;7.707183;
1604;0.003785;
1605;0.599681;
1606;0.001968;
1607;0.004129;
1608;0.305040;
1609;1.019372;
1610;0.498978;
1611;0.612558;
1612;0.419280;
1613;0.950977;
1614;3.059510;
1615;0.545360;
1616;1.623730;
1617;0.791822;
1618;0.939165;
1619;1.273945;
1620;1.101555;
1621;0.542936;
1622;1.193439;
1623;0.276689;
1624;2.927288;
1625;1.497850;
1626;0.776155;
1627;0.730134;
1628;1.570276;
1629;0.004730;
1630;0.007350;
1631;0.609613;
1632;0.892310;
1633;0.033028;
1634;3.359700;
1635;1.166449;
1636;0.369365;
1637;0.416876;
1638;0.002439;
1639;0.640958;
1640;0.474381;
1641;0.353293;
1642;0.544573;
1643;0.817312;
1644;1.358311;
1645;1.494091;
1646;3.746460;
1647;0.560504;
1648;0.283792;
1649;0.755535;
1650;0.578363;
1651;0.005242;
1652;0.003594;
1653;0.007613;
1654;0.003418;
1655;0.003234;
1656;0.002295;
1657;0.004608;
1658;0.003705;
1659;0.003296;
1660;0.291341;
1661;2.454618;
1662;0.322909;
1663;0.804304;
1664;0.390328;
1665;0.182136;
1666;0.345805;
1667;0.227565;
1668;0.215508;
